School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI
Utah State,31,21,10,0.677,-0.68,0.469,0.356,0.723,62.2,109.3,0.562,56.9,60.7,7.7,0.525,17.9,109
Utah Valley,32,14,18,0.438,-7.02,0.453,0.334,0.71,65.2,101,0.537,49.1,57.8,9.5,0.505,16.4,297
Utah,33,15,18,0.455,6.68,0.439,0.362,0.755,63.3,100.6,0.535,50.1,60.7,8.7,0.496,17.8,159
Valparaiso,34,26,8,0.765,-1.13,0.484,0.372,0.731,65.1,108.9,0.594,52.9,56.7,10.4,0.559,19.4,60
Vanderbilt,33,16,17,0.485,6.03,0.408,0.35,0.635,61.4,97.5,0.511,49.3,56.5,7.8,0.484,17.1,111
Vermont,33,21,12,0.636,-4.46,0.437,0.322,0.709,62,102.5,0.532,53.4,52.7,10.6,0.486,17.8,138
Villanova,34,20,14,0.588,8.53,0.416,0.331,0.719,67.4,98.8,0.529,52.3,56.4,11.3,0.474,19.9,54
Virginia Commonwealth,36,27,9,0.75,4.47,0.45,0.351,0.701,68.6,111.4,0.541,49.8,51.6,17,0.513,14.2,26
VMI,31,14,17,0.452,-7.11,0.434,0.325,0.657,73.7,105.6,0.527,48.4,53.3,10.9,0.504,15.2,302
Virginia Tech,32,13,19,0.406,6.27,0.426,0.314,0.709,67.8,102,0.515,49,41.1,6.3,0.475,15.1,176
Virginia,35,23,12,0.657,4.23,0.457,0.385,0.706,61.3,104.4,0.546,51.2,60,9.6,0.516,16.1,83
Wagner,31,19,12,0.613,-5.07,0.437,0.317,0.705,68,98.9,0.518,52.5,50.4,11.7,0.475,18.8,129
Wake Forest,31,13,18,0.419,6.15,0.434,0.345,0.68,69.2,97.5,0.525,48.2,49.1,10.3,0.485,18.4,171
Washington State,32,13,19,0.406,5.26,0.427,0.347,0.688,62.4,102.4,0.527,51.5,54.7,7.2,0.496,16.6,191
Washington,34,18,16,0.529,7.22,0.436,0.343,0.683,66.1,102,0.515,52.9,48.2,7.9,0.482,16.8,96
Weber State,37,30,7,0.811,-5.61,0.506,0.416,0.721,65.4,114.5,0.603,54.9,52.3,8,0.574,16.6,78
West Virginia,32,13,19,0.406,6.54,0.408,0.316,0.695,65.5,100.6,0.501,50.9,54.8,11.1,0.456,16.7,151
Western Carolina,33,14,19,0.424,-4.42,0.43,0.339,0.704,66.7,103.1,0.517,49.5,45,11.3,0.484,16.4,245
Western Illinois,31,22,9,0.71,-5.42,0.466,0.391,0.642,58.5,101.4,0.548,51,56.3,9.9,0.523,17.5,137
Western Kentucky,36,20,16,0.556,-1.14,0.427,0.319,0.674,67,99.5,0.52,52.4,47.8,9.2,0.485,19,149
Western Michigan,35,22,13,0.629,-1.43,0.432,0.32,0.703,65.2,101.7,0.53,54.1,52.5,8.6,0.484,18.9,113
Wichita State,39,30,9,0.769,6.09,0.44,0.339,0.699,64.9,107.5,0.535,55.7,55.6,11.4,0.5,16.4,18
William & Mary,30,13,17,0.433,-3.45,0.467,0.377,0.709,63.4,105.8,0.571,50.2,59.6,7.9,0.54,18,261
Winthrop,31,14,17,0.452,-4.43,0.416,0.316,0.688,62,96.4,0.51,49.8,45.4,7.8,0.474,18.3,269
Wisconsin,35,23,12,0.657,9.73,0.42,0.33,0.634,61.4,104.3,0.508,52.5,56.5,9.2,0.486,13.4,31
Wofford,32,13,19,0.406,-4.65,0.392,0.307,0.725,63.6,91.3,0.483,48.8,55.5,11.7,0.446,17.8,253
Wright State,36,23,13,0.639,-1.15,0.439,0.339,0.703,63,97.7,0.528,49,53.7,11.7,0.495,18.2,128
Wyoming,34,20,14,0.588,4.61,0.427,0.322,0.675,60.8,99.5,0.529,46.4,56.2,10.3,0.495,16.6,87
Xavier,31,17,14,0.548,4.96,0.456,0.35,0.667,63.2,102.3,0.534,53.7,48.2,8.3,0.501,17.7,95
Yale,31,14,17,0.452,-0.81,0.43,0.351,0.728,64.1,103,0.534,53,57.4,9.8,0.487,18.7,199
Youngstown State,34,18,16,0.529,-0.81,0.431,0.347,0.692,67.9,102.8,0.526,48.8,59.1,9.8,0.493,14.9,190
